time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],u0
494.50000000004394,299551.7741170173,49145.22379661199,446.7527074604691,-1836.0590051704917,1.8091911137769852,-0.0012045219491925725,4.951072225936885,-3.1418811121598997,635523.7594447748,291242.3903944454,1.0
494.60000000004396,299596.2861404303,48962.288891148084,445.12023413008615,-1829.349054639059,1.8090726880445347,-0.0011842573245053505,4.951072330277599,-3.1419996422330643,634244.5982390081,289963.22918867867,1.0
494.700000000044,299640.6344887027,48780.02635373868,443.4834827239724,-1822.6253740940795,1.80895823861531,-0.0011444942922462411,4.951071949891687,-3.1421137112763766,632965.4370332414,288684.06798291195,1.0
494.800000000044,299684.8187521786,48598.43749844158,441.84263475908233,-1815.8885529709794,1.8088496382488668,-0.0010860036644332995,4.951071099192132,-3.142221460943265,631686.2758274747,287404.9067771452,1.0
494.90000000004403,299728.8385303579,48417.5236360543,440.19778179332616,-1809.1386238727757,1.8087486187747221,-0.0010101947414459151,4.951069816545763,-3.142321197771041,630407.1146217079,286125.7455713785,1.0
495.00000000004405,299772.69344034645,48237.28609830796,438.54909988556545,-1802.3753774633667,1.808656602265754,-0.000920165089682224,4.951068215972983,-3.142411613707229,629127.9534159412,284846.5843656118,1.0
495.1000000000441,299816.3831043939,48057.72623276911,436.89664047458484,-1795.598655388449,1.8085748403084927,-0.000817619572612479,4.951066341149607,-3.1424915008411145,627848.7922101745,283567.42315984506,1.0
495.2000000000441,299859.9071430343,47878.84539213263,435.2403864037689,-1788.8084063648264,1.8085045073800285,-0.0007033292846413013,4.951064186446235,-3.1425596790662063,626569.6310044078,282288.26195407833,1.0
495.3000000000441,299903.2651787698,47700.64493576902,433.5803573552955,-1782.0045636360649,1.8084466477617347,-0.0005785961829377307,4.951061767646495,-3.14261511988476,625290.469798641,281009.1007483116,1.0
495.40000000004414,299946.4568360118,47523.12622976696,431.91657241954414,-1775.187060020651,1.8084021681809435,-0.0004447958079120827,4.951059100503519,-3.1426569323225757,624011.3085928743,279729.9395425449,1.0
495.50000000004417,299989.4817426662,47346.29064821289,430.24906654438723,-1768.3558155406868,1.8083718105683706,-0.0003035761257288717,4.951056211129656,-3.1426844005612855,622732.1473871076,278450.77833677817,1.0
495.6000000000442,300032.3395300773,47170.139573627246,428.57787411080307,-1761.5107458564223,1.8083561461280684,-0.00015664440302222508,4.9510531262960455,-3.142696980167977,621452.9861813409,277171.61713101144,1.0
495.7000000000442,300075.02983187407,46994.674395885595,426.9030179675698,-1754.651777416498,1.8083555864669565,-5.596611119973005e-06,4.951049865564093,-3.142694279097136,620173.8249755742,275892.4559252447,1.0
495.80000000004424,300117.5522862039,46819.89651448315,425.2245432983456,-1747.7788140244306,1.8083703508602549,0.00014764393298299846,4.951046463834071,-3.1426761129738168,618894.6637698074,274613.294719478,1.0
495.90000000004426,300159.9065366787,46645.80733873683,423.54250474819025,-1740.8917574632856,1.8084004543766166,0.00030103516361686854,4.9510429619471825,-3.142642507570566,617615.5025640407,273334.1335137113,1.0
496.0000000000443,300202.09223379253,46472.40828738416,421.8569711378679,-1733.990513526686,1.8084456942100908,0.00045239833474193877,4.951039408574525,-3.142593714364434,616336.341358274,272054.97230794455,1.0
496.1000000000443,300244.1090373153,46299.700789379116,420.1680352276528,-1727.0749800504868,1.80850562434859,0.0005993013849914526,4.951035867306442,-3.142530242957852,615057.1801525073,270775.81110217783,1.0
496.2000000000443,300285.9566165062,46127.686282898896,418.47579190942764,-1720.1450648021998,1.8085795601280445,0.0007393577945462654,4.951032402598866,-3.1424528424708216,613778.0189467405,269496.6498964111,1.0
496.30000000004435,300327.63465337,45956.36621422394,416.7803686377453,-1713.200686749558,1.8086665527187855,0.0008699259074098748,4.9510290963963985,-3.142362543677613,612498.8577409738,268217.4886906444,1.0
496.4000000000444,300369.14284406474,45785.742044044986,415.08190694707656,-1706.2417017895646,1.8087653664415846,0.0009881372279910603,4.9510260482652,-3.1422606818236156,611219.6965352071,266938.32748487766,1.0
496.5000000000444,300410.6355904975,45615.17754209753,414.9274643278807,-1705.6450194745132,1.8088744211968357,0.0010905475525103945,4.951020908102832,-3.142146486905996,611108.683213467,266827.3141631375,-0.8264279416235183
496.6000000000444,300451.9582669311,45445.310588274384,413.2267643362842,-1698.6695382314958,1.8089917924320726,0.001173712352368639,4.9510187992151895,-3.142027006783117,609829.5220077003,265548.1529573708,1.0
